"study","group","trial","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study1","G3","T2","TurnTaking",0.0452162582900318,NA,0,0,NA,0,0
"Study1","G3","T3","Synchronous",0.0957778194783261,0.125391849529781,2,2,0,0.689655172413793,2
"Study1","G4","T1","Synchronous",0.0362422844262079,NA,0,0,NA,0,0
"Study1","G4","T3","TurnTaking",0.0327596014480828,NA,0,0,NA,0,0
"Study2","G10","T1","Conversation",0.0280094960795309,NA,0,0,NA,0,0
"Study2","G10","T2","TurnTaking",0.022732621732807,NA,0,0,NA,0,0
"Study2","G10","T3","Synchronous",0.0319480327296219,NA,0,0,NA,0,0
"Study2","G5","T1","Synchronous",0.64783192161012,1.59367252980758,2,2,0,4.14945106835084,2
"Study2","G5","T2","TurnTaking",0.333035776252115,0.413341753257937,2,2,0,2.06670876628968,2.04545454545455
"Study2","G5","T3","Conversation",0.149893822022882,0.0510204081632653,2,2,0,1.1734693877551,2
"Study2","G6","T1","TurnTaking",0.0219105000048754,NA,0,0,NA,0,0
"Study2","G6","T2","Conversation",0.131233570709829,0.0582750582750583,2,2,0,0.728438228438228,2
"Study2","G6","T3","Synchronous",0.0663050733131831,0.230680507497116,2,2,0,0.403690888119954,2
"Study2","G7","T1","Conversation",0.0316803651902954,NA,0,0,NA,0,0
"Study2","G7","T2","Synchronous",0.0462300078636899,NA,0,0,NA,0,0
"Study2","G7","T3","TurnTaking",0.00405325130980242,NA,0,0,NA,0,0
"Study2","G8","T1","TurnTaking",0.344239574683928,0.466537073035268,2,2,0,2.21605109691752,2.01515151515152
"Study2","G8","T2","Synchronous",0.418536435957004,1.05979626330455,2,2,0,3.33927184687771,2.02493074792244
"Study2","G8","T3","Conversation",0.115842687198551,0.0990262419541179,2,2,0,0.693183693678825,2
"Study2","G9","T1","Synchronous",0.0276844712103486,NA,0,0,NA,0,0
"Study2","G9","T2","Conversation",0.0224649541934804,NA,0,0,NA,0,0
"Study2","G9","T3","TurnTaking",0.0399015824696116,0.095831336847149,2,2,0,0,NA
