"study","group_1","group_2","combination","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study1","3","4","a","Synchronous",5.8248641794856,95.9608419346842,223,9.17081768275065,2.32154035250494,98.0209334808714,13.2962598425197
"Study1","3","4","a","TurnTaking",1.23471944654086,91.4539296242865,122,6.99136897626468,2.16016126963947,95.3333751489682,8.02905441098785
"Study1","3","4","b","Synchronous",2.36645563490037,92.6089091964458,144,8.27763735532792,2.36048404142912,97.9624640938249,12.1506368838841
"Study1","3","4","b","TurnTaking",1.75848584037865,91.1719369329693,122,7.27389318341532,2.10061039358008,95.432925218004,9.23067092651757
"Study1","3","4","c","Synchronous",1.29461384708855,91.3921157874691,224,6.41945346837378,2.0988668323717,94.4473161574666,7.79609252189535
"Study1","3","4","c","TurnTaking",1.37598070668579,91.1042944785276,109,5.82877205617573,2.0014096387781,95.1680081049136,6.72038950715421
"Study1","3","4","d","Synchronous",8.15254162667629,97.2843015695406,239,15.1088969404187,2.8101226549302,98.6944256034285,19.8321902942964
"Study1","3","4","d","TurnTaking",1.31328827790984,92.469408816158,209,8.06402674209308,2.23360764988037,96.40572018281,10.2559598494354
"Study1","4","3","a","Synchronous",2.36645563490037,92.6089091964458,144,8.27763735532792,2.36048404142912,97.9624640938249,12.1506368838841
"Study1","4","3","a","TurnTaking",1.75848584037865,91.1719369329693,122,7.27389318341532,2.10061039358008,95.432925218004,9.23067092651757
"Study1","4","3","b","Synchronous",5.8248641794856,95.9608419346842,223,9.17081768275065,2.32154035250494,98.0209334808714,13.2962598425197
"Study1","4","3","b","TurnTaking",1.23471944654086,91.4539296242865,122,6.99136897626468,2.16016126963947,95.3333751489682,8.02905441098785
"Study1","4","3","c","Synchronous",1.29461384708855,91.3921157874691,224,6.41945346837378,2.0988668323717,98.6397148842397,7.64431794223066
"Study1","4","3","c","TurnTaking",1.37598070668579,91.1042944785276,109,5.82877205617573,2.0014096387781,96.955028986323,6.63559322033898
"Study1","4","3","d","Synchronous",8.15254162667629,97.2843015695406,239,15.1088969404187,2.8101226549302,98.5410573338114,18.5848610771612
"Study1","4","3","d","TurnTaking",1.31328827790984,92.469408816158,209,8.06402674209308,2.23360764988037,96.2317558602388,9.00579470198675
"Study2","10","5","a","Conversation",1.30501308798672,90.2002724995239,107,5.95665634674923,2.03626795105628,91.8587104619306,6.3953488372093
"Study2","10","5","a","Synchronous",2.62673627807139,90.4423967158704,128,7.07613895216401,2.12025041231064,92.0531633039276,8.18841048883134
"Study2","10","5","a","TurnTaking",4.00191649958158,93.8857702505793,134,8.8533135108348,2.31656291171443,94.9119747748609,9.72037381348469
"Study2","10","5","b","Conversation",2.75110608830849,95.1853113077078,122,9.73800213295414,2.53079607631766,97.1652547378955,13.3524973736988
