"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G6","T1","TurnTaking","1",7.4532083,110.442,103.986,1.4774385,5.85971504052066,-0.937119856464338,-0.167753433928189,-1.14191582684623,-0.359224094907781
"Study2","G6","T1","TurnTaking","2",7.454875,110.442,103.986,1.3736085,5.85971504052066,-1.02906578477775,-0.167753433928189,-1.14191582684623,-0.359224094907781
"Study2","G6","T1","TurnTaking","3",7.4565417,110.442,107.147072866238,1.2998837,5.85971504052066,-1.09435226436671,-0.167753433928189,-1.14191582684623,-0.285019421554931
"Study2","G6","T1","TurnTaking","4",7.4582083,110.442,113.01763676068,1.2834958,5.85971504052066,-1.10886445427913,-0.167753433928189,-1.14191582684623,-0.147210742471067
"Study2","G6","T1","TurnTaking","5",7.459875,110.442,113.01763676068,1.3068176,5.85971504052066,-1.08821199785094,-0.167753433928189,-1.14191582684623,-0.147210742471067
"Study2","G6","T1","TurnTaking","6",7.4615417,110.442,113.01763676068,1.3328457,5.85971504052066,-1.06516299643772,-0.167753433928189,-1.14191582684623,-0.147210742471067
"Study2","G6","T1","TurnTaking","7",7.4632083,110.442,113.01763676068,1.3635924,5.84200743889984,-1.03793547188726,-0.256333779260461,-1.14191582684623,-0.147210742471067
"Study2","G6","T1","TurnTaking","8",7.464875,110.442,147.440881969058,1.3943357,5.5375214,-1.01071095818296,-1.77949197155237,-1.14191582684623,0.660858471533694
"Study2","G6","T1","TurnTaking","9",7.4665417,115.45316,168.539,1.4202389,5.7619386,-0.987772561088783,-0.656869410904669,-0.904701208741898,1.1561266994721
"Study2","G6","T1","TurnTaking","10",7.4682083,121.831,168.539,1.4327475,5.9319791,-0.976695658084823,0.19373964011199,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","11",7.469875,121.831,168.539,1.4305522,6.015018,-0.978639690603617,0.609132678396788,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","12",7.4715417,121.831,168.539,1.4279664,6.0242763,-0.980929527658734,0.655446314130789,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","13",7.4732083,121.831,168.539,1.4279846,5.9967161,-0.980913410776376,0.517579420256516,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","14",7.474875,121.831,168.539,1.4292027,5.9589265,-0.979834730864225,0.328541068838473,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","15",7.4765417,121.831,168.539,1.4303601,5.9247282,-0.97880980341137,0.157467803884641,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","16",7.4782083,121.831,168.539,1.4177669,5.8976871,-0.989961623352009,0.0221976511301665,-0.60279169479093,1.1561266994721
"Study2","G6","T1","TurnTaking","17",7.479875,121.831,146.564348,1.4033756,5.8710451,-1.00270573813711,-0.111076047413331,-0.60279169479093,0.640282255923053
"Study2","G6","T1","TurnTaking","18",7.4815417,121.831,63.8978,1.3920864,5.8417566,-1.01270281002304,-0.257588573492125,-0.60279169479093,-1.3002754126662
"Study2","G6","T1","TurnTaking","19",7.4832083,126.55924,63.8978,1.3908721,5.8145595,-1.01377812487184,-0.393639099228085,-0.378969736221332,-1.3002754126662
"Study2","G6","T1","TurnTaking","20",7.484875,132.577,63.8978,1.3997623,5.7933383,-1.0059054706111,-0.499795837143081,-0.0941054253145714,-1.3002754126662
"Study2","G6","T1","TurnTaking","21",7.4865417,132.577,63.8978,1.4056305,5.7735929,-1.0007089272563,-0.598570046557563,-0.0941054253145714,-1.3002754126662
"Study2","G6","T1","TurnTaking","22",7.4882083,132.577,63.8978,1.408482,5.7516605,-0.998183801429609,-0.708284484885598,-0.0941054253145714,-1.3002754126662
"Study2","G6","T1","TurnTaking","23",7.489875,132.577,63.8978,1.4090315,5.7326383,-0.997697195558394,-0.803440965196162,-0.0941054253145714,-1.3002754126662
"Study2","G6","T1","TurnTaking","24",7.4915417,132.577,128.601584,1.413341,5.7189029,-0.99388094805703,-0.872150805259764,-0.0941054253145714,0.218614963982195
"Study2","G6","T1","TurnTaking","25",7.4932083,132.577,150.86169,1.4174532,5.7117441,-0.99023941818695,-0.907961921284581,-0.0941054253145714,0.741160303626832
"Study2","G6","T1","TurnTaking","26",7.494875,132.577,172.911,1.4148891,5.7088866,-0.992510038959255,-0.922256253301249,-0.0941054253145714,1.25875730801126
"Study2","G6","T1","TurnTaking","27",7.4965417,132.577,172.911,1.4143513,5.713078,-0.992986283977525,-0.901289232053776,-0.0941054253145714,1.25875730801126
"Study2","G6","T1","TurnTaking","28",7.4982083,132.577,172.911,1.4329346,5.7104063,-0.976529972992003,-0.914654119839926,-0.0941054253145714,1.25875730801126
"Study2","G6","T1","TurnTaking","29",7.499875,150.5906,172.911,1.479053,5.7022272,-0.935690147312244,-0.955569175307123,0.758609164657449,1.25875730801126
"Study2","G6","T1","TurnTaking","30",7.5015417,173.517,172.911,1.5386778,5.6950094,-0.882889823836353,-0.991675432395453,1.84388227916729,1.25875730801126
"Study2","G6","T1","TurnTaking","31",7.5032083,173.517,172.911,1.5756289,5.6878778,-0.850168036378953,-1.0273504833876,1.84388227916729,1.25875730801126
"Study2","G6","T1","TurnTaking","32",7.504875,173.517,172.911,1.5754694,5.6776466,-0.850309280485338,-1.07853094523499,1.84388227916729,1.25875730801126
"Study2","G6","T1","TurnTaking","33",7.5065417,173.517,154.028496,1.5638487,5.6775368,-0.86059990987137,-1.07908020775658,1.84388227916729,0.815499559552148
"Study2","G6","T1","TurnTaking","34",7.5082083,173.517,73.5294,1.5527226,5.6789472,-0.870452549696159,-1.07202483562139,1.84388227916729,-1.0741782101946
"Study2","G6","T1","TurnTaking","35",7.509875,173.517,73.5294,1.5466833,5.6762211,-0.87580060945599,-1.08566185347288,1.84388227916729,-1.0741782101946
"Study2","G6","T1","TurnTaking","36",7.5115417,173.517,73.5294,1.5448548,5.6704693,-0.877419824807248,-1.11443460549159,1.84388227916729,-1.0741782101946
"Study2","G6","T1","TurnTaking","37",7.5132083,173.517,73.5294,1.5363425,5.664355,-0.884957832373291,-1.14502072421408,1.84388227916729,-1.0741782101946
