"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G6","T3","Synchronous","1",23.881977,141.3,89.6519787971717,2.1406437,5.765741,0.975113575760243,-1.37433462188203,0.50639953241674,0.704900472119626
"Study2","G6","T3","Synchronous","2",23.883643,140.0932,89.6519787971717,2.125211,5.65083826670139,0.968889069036497,-1.89188135070871,0.440628863901027,0.704900472119626
"Study2","G6","T3","Synchronous","3",23.885308,139.576,89.6519787971717,2.1479736,6.0596262966821,0.978069961346329,-0.050611768807685,0.41244143453715,0.704900472119626
"Study2","G6","T3","Synchronous","4",23.886976,139.576,89.6519787971717,2.1700107,6.0596262966821,0.986958236056643,-0.050611768807685,0.41244143453715,0.704900472119626
"Study2","G6","T3","Synchronous","5",23.888643,139.576,89.6519787971717,2.1727326,6.0596262966821,0.988056066303545,-0.050611768807685,0.41244143453715,0.704900472119626
"Study2","G6","T3","Synchronous","6",23.890308,139.576,89.6519787971717,2.1553683,6.0596262966821,0.981052482866872,-0.050611768807685,0.41244143453715,0.704900472119626
"Study2","G6","T3","Synchronous","7",23.891974,139.576,97.8990919714626,2.1402127,6.0596262966821,0.974939739529517,-0.050611768807685,0.41244143453715,1.43319660668262
"Study2","G6","T3","Synchronous","8",23.893641,139.576,99.8336,2.1590364,5.9898673151466,0.982531946156729,-0.364821289012477,0.41244143453715,1.60403150244431
"Study2","G6","T3","Synchronous","9",23.895308,139.576,99.8336,2.2331579,5.658566,1.01242754285233,-1.85707397080464,0.41244143453715,1.60403150244431
"Study2","G6","T3","Synchronous","10",23.896975,139.576,99.8336,2.3616634,5.8182188,1.06425796454058,-1.13796327590684,0.41244143453715,1.60403150244431
"Study2","G6","T3","Synchronous","11",23.898641,139.576,99.8336,2.5408299,5.9348388,1.13652160498717,-0.612681606941558,0.41244143453715,1.60403150244431
"Study2","G6","T3","Synchronous","12",23.900309,101.19486,99.8336,2.7262764,5.9905036,1.21131817241511,-0.361955324600457,-1.6793328745407,1.60403150244431
"Study2","G6","T3","Synchronous","13",23.901977,84.7458,99.8336,2.889914,6.0027164,1.27731850556859,-0.306946235535636,-2.5758075784312,1.60403150244431
"Study2","G6","T3","Synchronous","14",23.903642,84.7458,99.8336,3.0534881,5.9924684,1.34329322711962,-0.353105441019744,-2.5758075784312,1.60403150244431
"Study2","G6","T3","Synchronous","15",23.905308,84.7458,90.233836,3.2027863,5.979053,1.40351001677686,-0.41353130023632,-2.5758075784312,0.75628382805665
"Study2","G6","T3","Synchronous","16",23.906976,84.7458,71.599,3.2360357,5.971849,1.41692057447969,-0.445979672241343,-2.5758075784312,-0.889344010460573
"Study2","G6","T3","Synchronous","17",23.908641,84.7458,71.599,3.1525511,5.9717791,1.38324853692118,-0.44629451693917,-2.5758075784312,-0.889344010460573
