"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G9","T2","Conversation","1",6.9198917,94.2134954371023,97.8793,-0.3802124,-3.5063271,-0.172692468026504,-0.854950991055585,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","2",6.9215583,94.2134954371023,97.8793,-0.83413414,-3.5276823,-0.433703230279441,-0.868675542600613,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","3",6.923225,94.2134954371023,97.8793,-1.4239688,-3.5676792,-0.772865646712288,-0.89438073457687,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","4",6.9248917,94.2134954371023,97.8793,-2.1374478,-3.6023218,-1.1831251280966,-0.916644827132959,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","5",6.9265583,94.2134954371023,97.8793,-2.7441309,-3.6074638,-1.53197561139131,-0.919949485672544,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","6",6.928225,94.2134954371023,97.8793,-3.1569459,-3.5848272,-1.76934947636514,-0.905401404479008,-0.127171872821472,0.698866835580088
"Study2","G9","T2","Conversation","7",6.9298917,94.2134954371023,95.29061,-3.3946717,-3.5501642,-1.90604482888381,-0.883124201258934,-0.127171872821472,0.221983135527633
"Study2","G9","T2","Conversation","8",6.9315583,94.2134954371023,93.8967,-3.3818881,-3.5148779,-1.89869409661807,-0.86044641583977,-0.127171872821472,-0.0348003952698445
"Study2","G9","T2","Conversation","9",6.933225,98.8698724904063,93.8967,-2.9343692,-3.5041203,-1.64136504863814,-0.85353272569869,0.789937356874834,-0.0348003952698445
"Study2","G9","T2","Conversation","10",6.9348917,104.561,93.8967,-2.2728879,-3.5255218,-1.26100490477487,-0.867287033309526,1.91084863761476,-0.0348003952698445
"Study2","G9","T2","Conversation","11",6.9365583,104.561,93.8967,-1.6941591,-3.54827,-0.928228498811748,-0.881906837547211,1.91084863761476,-0.0348003952698445
"Study2","G9","T2","Conversation","12",6.938225,104.561,93.8967,-1.3470027,-3.5479866,-0.728609162260506,-0.881724702146566,1.91084863761476,-0.0348003952698445
"Study2","G9","T2","Conversation","13",6.9398917,104.561,93.8967,-1.2874569,-3.5128083,-0.694369571429362,-0.859116326124966,1.91084863761476,-0.0348003952698445
"Study2","G9","T2","Conversation","14",6.9415583,104.561,90.3614,-1.2971255,-3.4114441,-0.699929139155549,-0.793971621897397,1.91084863761476,-0.686066844630503
"Study2","G9","T2","Conversation","15",6.943225,104.561,90.3614,-1.1961917,-3.2714569,-0.641890922975188,-0.704004703205732,1.91084863761476,-0.686066844630503
"Study2","G9","T2","Conversation","16",6.9448917,104.561,90.3614,-0.78547956,-3.214328,-0.405726229193535,-0.667289124201051,1.91084863761476,-0.686066844630503
"Study2","G9","T2","Conversation","17",6.9465583,104.561,90.3614,0.1317504587,-3.2332455,0.121692674210746,-0.67944701566791,1.91084863761476,-0.686066844630503
"Study2","G9","T2","Conversation","18",6.948225,104.561,90.3614,1.35957667,-3.2943905,0.827708330842547,-0.71874366024257,1.91084863761476,-0.686066844630503
"Study2","G9","T2","Conversation","19",6.9498917,101.665835,90.3614,2.4604119,-3.3747378,1.46070256129555,-0.770381231436184,1.34062365097849,-0.686066844630503
"Study2","G9","T2","Conversation","20",6.9515583,98.1273,89.938664,3.0941443,-3.4417234,1.82510673543443,-0.813431510523931,0.643682000645261,-0.763942491318741
"Study2","G9","T2","Conversation","21",6.953225,98.1273,87.7193,3.1690192,-3.4721848,1.86816075334204,-0.833008431106915,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","22",6.9548917,98.1273,87.7193,3.009594,-3.4589439,1.77648923971432,-0.824498774697583,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","23",6.9565583,98.1273,87.7193,2.9003237,-3.4322669,1.71365743021648,-0.807354010819618,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","24",6.958225,98.1273,87.7193,2.7903166,-3.4701175,1.65040195136624,-0.831679819555207,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","25",6.9598917,98.1273,87.7193,2.6848846,-4.1694855,1.58977721308899,-1.28114937099671,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","26",6.9615583,98.1273,87.7193,2.6006961,-4.85994192363332,1.54136775696131,-1.72489163404044,0.643682000645261,-1.17278963643199
"Study2","G9","T2","Conversation","27",6.963225,98.1273,87.682151,2.4543914,-2.62719259847215,1.45724069737569,-0.289949175046744,0.643682000645261,-1.17963315673502
"Study2","G9","T2","Conversation","28",6.9648917,98.1273,87.5912,2.2496153,-2.62719259847215,1.33949184059659,-0.289949175046744,0.643682000645261,-1.19638798230451
"Study2","G9","T2","Conversation","29",6.9665583,98.305005,87.5912,2.0842745,-2.62719259847215,1.24441878188054,-0.289949175046744,0.678682365477732,-1.19638798230451
"Study2","G9","T2","Conversation","30",6.968225,98.5222,87.5912,1.994009,-2.62719259847215,1.19251497361583,-0.289949175046744,0.721460589161861,-1.19638798230451
"Study2","G9","T2","Conversation","31",6.9698917,98.5222,87.5912,1.9563598,-2.62719259847215,1.17086620572423,-0.289949175046744,0.721460589161861,-1.19638798230451
"Study2","G9","T2","Conversation","32",6.9715583,98.5222,87.5912,1.8785399,-2.62719259847215,1.12611877543493,-0.289949175046744,0.721460589161861,-1.19638798230451
"Study2","G9","T2","Conversation","33",6.973225,98.5222,87.5912,1.716849,-2.62719259847215,1.03314445554806,-0.289949175046744,0.721460589161861,-1.19638798230451
"Study2","G9","T2","Conversation","34",6.9748917,98.5222,94.14335,1.5162471,-2.62719259847215,0.917795816753214,-0.289949175046744,0.721460589161861,0.0106370130787589
"Study2","G9","T2","Conversation","35",6.9765583,98.5222,94.4882,1.3054628,-2.62719259847215,0.796592168710377,-0.289949175046744,0.721460589161861,0.0741646444147189
"Study2","G9","T2","Conversation","36",6.978225,98.5222,94.4882,1.1415315,-2.62719259847215,0.702329590385499,-0.289949175046744,0.721460589161861,0.0741646444147189
"Study2","G9","T2","Conversation","37",6.9798917,98.5222,94.4882,0.93880019,-2.62719259847215,0.58575651381147,-0.289949175046744,0.721460589161861,0.0741646444147189
"Study2","G9","T2","Conversation","38",6.9815583,98.5222,94.4882,0.6408752,-4.79585650946525,0.414445862917995,-1.68370524524361,0.721460589161861,0.0741646444147189
"Study2","G9","T2","Conversation","39",6.983225,99.18721,94.4882,0.32574473,-5.3271234,0.233241842630651,-2.02513964170495,0.852439417091525,0.0741646444147189
"Study2","G9","T2","Conversation","40",6.9848917,100,96.790576,0.08526,-4.77309,0.094960070342124,-1.66907367388599,1.01252465122778,0.498304107151458
"Study2","G9","T2","Conversation","41",6.9865583,100,97.4026,-0.0328399709,-4.4539216,0.0270510879993555,-1.46395065198293,1.01252465122778,0.611050040284011
"Study2","G9","T2","Conversation","42",6.988225,100,97.4026,-0.047183228,-4.3507818,0.0188035331039657,-1.39766480584503,1.01252465122778,0.611050040284011
"Study2","G9","T2","Conversation","43",6.9898917,100,97.4026,-0.0053344711,-4.4838806,0.042867099519196,-1.48320469033131,1.01252465122778,0.611050040284011
"Study2","G9","T2","Conversation","44",6.9915583,100,97.4026,-0.045013434,-4.7855011,0.0200511921957551,-1.67705003475737,1.01252465122778,0.611050040284011
"Study2","G9","T2","Conversation","45",6.993225,100,97.4026,-0.2819458,-5.0834046,-0.116187925701643,-1.86850653908392,1.01252465122778,0.611050040284011
"Study2","G9","T2","Conversation","46",6.9948917,100,101.878132,-0.27192384,-5.2330993,-0.11042517149016,-1.96471227006128,1.01252465122778,1.43552429554948
"Study2","G9","T2","Conversation","47",6.9965583,100,102.215,0.2084106723,-5.150195,0.165773270099828,-1.91143136711237,1.01252465122778,1.49758149755871
"Study2","G9","T2","Conversation","48",6.998225,100,102.215,0.97203964,-4.8200958,0.60486961947891,-1.69928334296028,1.01252465122778,1.49758149755871
"Study2","G9","T2","Conversation","49",6.9998917,99.707995,102.215,1.7424493,-4.4141445,1.04786495299968,-1.4383867209843,0.955012023373162,1.49758149755871
"Study2","G9","T2","Conversation","50",7.0015583,99.3511,102.215,2.32702,-4.2284979,1.38400052561564,-1.31907543704132,0.884718811550848,1.49758149755871
"Study2","G9","T2","Conversation","51",7.003225,99.3511,102.215,2.5755796,-4.4304137,1.5269254506507,-1.44884260404774,0.884718811550848,1.49758149755871
"Study2","G9","T2","Conversation","52",7.0048917,99.3511,100.8675,2.4391697,-4.6682771,1.44848802666249,-1.6017125604975,0.884718811550848,1.24934753141341
"Study2","G9","T2","Conversation","53",7.0065583,99.3511,100.84,2.0390713,-4.7127131,1.21842636810394,-1.63027067151752,0.884718811550848,1.24428153210432
"Study2","G9","T2","Conversation","54",7.008225,99.3511,100.84,1.4197234,-4.6082675,0.86229346405146,-1.56314561434871,0.884718811550848,1.24428153210432
"Study2","G9","T2","Conversation","55",7.0098917,99.3511,100.84,0.68872066,-4.4618166,0.441957609733519,-1.46902460748079,0.884718811550848,1.24428153210432
"Study2","G9","T2","Conversation","56",7.0115583,99.3511,100.84,0.0355163252,-4.3796206,0.0663568259220391,-1.41619891449758,0.884718811550848,1.24428153210432
"Study2","G9","T2","Conversation","57",7.013225,99.3511,100.84,-0.52643435,-4.3177765,-0.256771945311753,-1.37645297260961,0.884718811550848,1.24428153210432
"Study2","G9","T2","Conversation","58",7.0148917,99.3511,100.671,-0.87677613,-4.2573423,-0.458222915795896,-1.33761314469966,0.884718811550848,1.21314866362301
"Study2","G9","T2","Conversation","59",7.0165583,99.34507,100.671,-0.68581239,-4.2477993,-0.348416341340855,-1.33148005320933,0.883531156729995,1.21314866362301
"Study2","G9","T2","Conversation","60",7.018225,99.3377,100.671,-0.2743225,-4.3040101,-0.111804431437008,-1.36760558806676,0.882079578615616,1.21314866362301
"Study2","G9","T2","Conversation","61",7.0198917,99.3377,100.671,-0.00599975257,-4.5061985,0.0424845542293461,-1.49754794953408,0.882079578615616,1.21314866362301
"Study2","G9","T2","Conversation","62",7.0215583,99.3377,100.671,0.092904711,-4.6234891,0.099355876203534,-1.57292822625578,0.882079578615616,1.21314866362301
"Study2","G9","T2","Conversation","63",7.023225,99.3377,100.739,0.11836846,-4.4586822,0.113997855096872,-1.46701019252037,0.882079578615616,1.22567549827821
"Study2","G9","T2","Conversation","64",7.0248917,99.3377,101.351,0.0787384256,-4.2101622,0.0912100822819944,-1.30729145656985,0.882079578615616,1.338417010175
"Study2","G9","T2","Conversation","65",7.0265583,99.3377,101.351,-0.1471587781,-4.0130617,-0.0386836772205667,-1.18061898467538,0.882079578615616,1.338417010175
