"study","group","trial","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study1","G3","T2","TurnTaking",3.66954996643576,64.1560684386294,28,3.00796289345273,1.36298182605259,77.0546456837001,3.6894748370845
"Study1","G3","T3","Synchronous",5.27163405289588,84.8130912810023,44,4.53296162676287,2.05868778917751,91.0427000767067,5.3705580693816
"Study1","G4","T1","Synchronous",3.79795447733962,72.7966850190265,32,3.54836243662992,1.67423515637123,78.2702006653074,3.80215726372349
"Study1","G4","T3","TurnTaking",3.41669454667113,74.4707747256055,24,3.20487025603385,1.4834043072458,82.6103096093264,3.50431970038728
"Study2","G10","T1","Conversation",3.84693217623573,71.8415666467614,26,2.96677459433003,1.34803587142535,85.0478408919967,3.6672628992629
"Study2","G10","T2","TurnTaking",4.22118619339018,75.4685000934715,26,3.23971894282555,1.49549650851103,83.7517396090813,3.83297526474894
"Study2","G10","T3","Synchronous",4.3508651577261,78.5776470114062,40,3.57933098332966,1.6778977138608,84.7474910322035,4.33736952844589
"Study2","G5","T1","Synchronous",5.60307820509583,87.6614150063533,51,4.43706238317017,2.03618594986508,95.0040373312302,6.18641477133774
"Study2","G5","T2","TurnTaking",3.8654502271267,73.2467143615405,34,3.08353545577816,1.40525595034988,84.2343793239547,3.48349030055157
"Study2","G5","T3","Conversation",4.16652637840234,76.7413867120094,48,3.30540398455486,1.53202412259174,84.8752935630771,3.76677811606926
"Study2","G6","T1","TurnTaking",4.19567126531597,73.2454233887821,45,3.32941332928034,1.53564072426676,82.3104572431664,4.05259800390987
"Study2","G6","T2","Conversation",4.96381965663044,79.3424808523867,36,3.34241152483853,1.57424275393558,85.5382528332815,3.88187385769712
"Study2","G6","T3","Synchronous",4.50465616749296,79.2934444098412,37,4.1481986843981,1.91663443367961,88.5907816879477,5.14798896077456
"Study2","G7","T1","Conversation",4.28938382588543,78.0866216415104,34,3.41137703161279,1.62113574670541,91.2842798973034,4.67328742753092
"Study2","G7","T2","Synchronous",4.04361632282013,69.7643859854546,34,3.06020773093897,1.41285180619378,90.0697778298184,4.96547684510005
"Study2","G7","T3","TurnTaking",3.4463565734872,74.5372207805424,43,3.37755643171705,1.54390190328582,94.0884343357248,5.6593009732509
"Study2","G8","T1","TurnTaking",4.0245546549049,69.6682381852881,36,3.16519845590419,1.44565060647062,89.1704647454053,4.13213261721116
"Study2","G8","T2","Synchronous",4.18988437441254,63.6270037249404,24,3.00152026693518,1.37913362675787,72.9954379943917,3.47481670385719
"Study2","G8","T3","Conversation",3.92873777037056,56.7796534516466,28,2.82189045897203,1.23351716819001,80.7987930618913,3.79401408450704
"Study2","G9","T1","Synchronous",3.48998622369244,67.0466992935312,28,3.00827396519073,1.37829542249153,90.4591544483414,4.2897991278862
"Study2","G9","T2","Conversation",3.70890606017244,61.979082940114,21,2.75202065794722,1.18268828281538,81.9798394341425,3.59154462787663
"Study2","G9","T3","TurnTaking",3.43964027283262,61.8653356921085,31,2.85623161115688,1.25495639384466,82.6604536393623,3.81918827880244
