"study","group","trial","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study1","G3","T2","TurnTaking",3.60817116564533,7.10974893426463,5,2.03919933277731,0.166562417271896,9.08884714475972,2.05956773853453
"Study1","G3","T3","Synchronous",4.12715973900357,8.06814025186811,4,2.04537175028978,0.186623136127761,11.8089303443591,2.08764434180139
"Study1","G4","T1","Synchronous",3.44777534362699,6.51590787164589,4,2.0421772584782,0.176510088438499,9.47925475326659,2.06558351495938
"Study1","G4","T3","TurnTaking",3.33480274668319,6.41106028678625,4,2.03093454900684,0.138899800185195,8.34044302821607,2.03766951280763
"Study2","G10","T1","Conversation",3.58198025302391,7.12264520424549,5,2.03567930600252,0.155120088088302,11.1424431128344,2.06215457098849
"Study2","G10","T2","TurnTaking",3.96882514190158,7.45214824764497,4,2.04461146805673,0.184211317365602,8.06896307947898,2.02708402708403
"Study2","G10","T3","Synchronous",3.86445067324338,7.53589385221353,5,2.04092417352833,0.172464969311553,10.5716697221063,2.08979189092214
"Study2","G5","T1","Synchronous",4.20717490299067,8.2770636389403,4,2.04637262984336,0.189549056977391,12.6260857966955,2.07309061045716
"Study2","G5","T2","TurnTaking",3.52605784365715,6.87703593186622,4,2.03263266206086,0.144605800092657,8.95337560611712,2.06503785271851
"Study2","G5","T3","Conversation",3.70574957422512,7.22120744645612,4,2.03683929524827,0.158907165886178,8.55613707990649,2.02679071852931
"Study2","G6","T1","TurnTaking",3.67190503045658,7.42435241078933,4,2.04096100827097,0.172587419474834,9.05526476656224,2.03969449225473
"Study2","G6","T2","Conversation",3.96400273281539,7.90934708846312,5,2.04238062599954,0.17720879382194,11.2267694172502,2.10466080610383
"Study2","G6","T3","Synchronous",3.70985300595664,7.27845109569098,4,2.04325902335456,0.179823425154113,7.76721057308703,2.06665828197711
"Study2","G7","T1","Conversation",3.8846697193393,7.68400857691006,5,2.03929555528933,0.167169373977498,11.5499379302562,2.04246826853995
"Study2","G7","T2","Synchronous",3.53105561307374,6.87624155740962,4,2.03647595234593,0.157658059542497,10.3049264998014,2.07936667000701
"Study2","G7","T3","TurnTaking",2.64304843592614,5.22554919354304,4,2.02467866323907,0.116207281744315,6.97978383901381,2.04908453447604
"Study2","G8","T1","TurnTaking",3.50545300483433,6.97048524262131,4,2.03445758504891,0.151059709801116,7.8384192096048,2.07811671087533
"Study2","G8","T2","Synchronous",3.81989161328698,7.5324448769918,4,2.04232013940752,0.17696908323202,11.193080874623,2.06679664321438
"Study2","G8","T3","Conversation",3.86969394712255,7.52205772394198,4,2.04345685091715,0.180468625388524,9.88711702036063,2.08326172061491
"Study2","G9","T1","Synchronous",3.90455558080744,7.61702873003112,6,2.04509827565417,0.185448913682472,9.0335445681513,2.04203045685279
"Study2","G9","T2","Conversation",3.73729689766532,7.39345254573693,5,2.03894927536232,0.165973515557813,8.59511732771524,2.07381410619269
"Study2","G9","T3","TurnTaking",3.59183550359278,7.07332076982414,5,2.0385535387646,0.164746552927248,9.11554197221056,2.06926742768481
