"study","group_1","group_2","combination","condition","RR","DET","maxL","L","ENTR","LAM","TT"
"Study1","3","4","a","Synchronous",4.00981755573084,71.7329267815957,29,3.3674667841151,1.58229306795931,81.8701379930417,3.75017011066146
"Study1","3","4","a","TurnTaking",3.70569821586253,70.965265251376,33,3.00933589612835,1.36738756069155,85.4391563757458,3.48175512665862
"Study1","3","4","b","Synchronous",5.45204144716465,87.7251896106584,68,4.80525370877823,2.14449631991075,91.0527919774135,5.22776493892374
"Study1","3","4","b","TurnTaking",4.43333205359542,75.8358333591068,40,3.70742770742771,1.69305635607136,80.7340797327808,4.13934588701685
"Study1","3","4","c","Synchronous",6.50750079315417,91.0360542644622,46,5.60406287069988,2.33903596274576,97.1249084672602,9.01847461418027
"Study1","3","4","c","TurnTaking",3.90273214902731,78.8235707447322,37,3.4786805178696,1.62927553959822,92.1934424213679,5.23594552800918
"Study1","3","4","d","Synchronous",3.98849957802944,70.1638828846532,28,3.33829468960359,1.57531728515883,87.5983493810179,4.90113901226967
"Study1","3","4","d","TurnTaking",3.77679222723758,62.5164505032719,20,2.82723802487378,1.23901265309902,76.9012243712504,3.58550209470611
"Study1","4","3","a","Synchronous",5.45204144716465,87.7251896106584,68,4.80525370877823,2.14449631991075,91.0527919774135,5.22776493892374
"Study1","4","3","a","TurnTaking",4.43333205359542,75.8358333591068,40,3.70742770742771,1.69305635607136,80.7340797327808,4.13934588701685
"Study1","4","3","b","Synchronous",4.00981755573084,71.7329267815957,29,3.3674667841151,1.58229306795931,81.8701379930417,3.75017011066146
"Study1","4","3","b","TurnTaking",3.70569821586253,70.965265251376,33,3.00933589612835,1.36738756069155,85.4391563757458,3.48175512665862
"Study1","4","3","c","Synchronous",6.50750079315417,91.0360542644622,46,5.60406287069988,2.33903596274576,93.793598489228,5.91448447657816
"Study1","4","3","c","TurnTaking",3.90273214902731,78.8235707447322,37,3.4786805178696,1.62927553959822,86.9568654317409,3.85525700934579
"Study1","4","3","d","Synchronous",3.98849957802944,70.1638828846532,28,3.33829468960359,1.57531728515883,80.8606798978188,3.74036503781268
"Study1","4","3","d","TurnTaking",3.77679222723758,62.5164505032719,20,2.82723802487378,1.23901265309902,83.9896895052596,3.5482745398773
"Study2","10","5","a","Conversation",4.01882037210059,73.1938474964547,51,3.1249673981892,1.4219862393054,84.3285698701865,3.69946401225115
"Study2","10","5","a","Synchronous",5.22722840893468,88.7793750104836,52,4.35775918851271,2.00271324445429,93.120754147307,6.22109415271521
"Study2","10","5","a","TurnTaking",3.70958996546103,73.1451586217329,39,2.91019202918994,1.28251595987827,82.041779135014,3.25101153903791
"Study2","10","5","b","Conversation",3.93380568391932,76.0233944197533,31,3.13904176406707,1.45910447396048,85.3000307586693,3.64110517001884
"Study2","10","5","b","Synchronous",4.47251261892938,77.8476124008516,34,3.5592922574978,1.69304657333654,86.2903700102334,4.15466661632561
"Study2","10","5","b","TurnTaking",3.97743533412456,74.3698608998523,36,3.17848125117769,1.47440428266264,85.3964684875339,3.73274233956446
"Study2","10","5","c","Conversation",4.73699106924909,81.6372918124304,49,3.51374261085706,1.66485132361341,92.6168608331575,5.00520156046814
"Study2","10","5","c","Synchronous",5.09816320575519,86.3351964915298,41,3.98542371266613,1.86776293363049,91.2116261071459,4.96108585433388
"Study2","10","5","c","TurnTaking",4.40350832891425,81.8714358533244,39,3.46500261237423,1.63615469852074,90.2246806205996,4.50337904989068
"Study2","10","5","d","Conversation",3.7960250723186,67.197302166582,30,2.86585101562346,1.26289244494622,84.7729477525754,3.59847831202447
"Study2","10","5","d","Synchronous",4.57076701205637,79.3965087281796,45,3.74992298910975,1.7800503599301,86.1803184346825,4.09989231415065
"Study2","10","5","d","TurnTaking",3.68477647870845,68.9410163425754,35,2.95922619655588,1.30327582913083,84.7634276576911,3.64538774841892
"Study2","10","6","a","Conversation",4.69129216714505,74.1311961962149,32,3.17786751273916,1.48015271258442,84.6869241149359,3.86424806836207
"Study2","10","6","a","Synchronous",4.71649144662452,82.0631320642475,33,4.06155346594778,1.91690084335407,87.1683521713266,5.41813223637078
"Study2","10","6","a","TurnTaking",4.34795417624134,73.2387151937534,35,3.13444609383091,1.45385047483056,80.9235149872552,3.76479969978422
"Study2","10","6","b","Conversation",4.35091776582522,78.2179893838695,31,3.3265169694892,1.55993437446559,85.4618661658196,3.80637980864164
