"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study1","G4","T1","Synchronous",1,10.363209,96.0482,68.5714,-1.6329104,3.1622437,1.13318784181463,-0.182883333263188,0.960357574521528,0.363871642349255
"Study1","G4","T1","Synchronous",2,10.364876,96.0482,68.5714,-2.0002835,3.2529816,0.71092668782011,0.601191231992182,0.410587334457956,-0.718809425063276
"Study1","G4","T1","Synchronous",3,10.366543,99.540832,68.5714,-2.1527825,3.3626709,-0.0888078205109416,-1.65649326143756,0.0866303009484658,-0.000176439013486001
"Study1","G4","T1","Synchronous",4,10.368207,103.986,68.5714,-1.9207638,3.4858123,1.12761408227844,1.533385671536,-0.207727015816791,-0.281872563345475
"Study1","G4","T1","Synchronous",5,10.369875,103.986,68.5714,-1.29414104,3.6064724,-1.84239878939262,-0.665290891194193,-0.141763281030765,-0.505754044354421
"Study1","G4","T1","Synchronous",6,10.371542,103.986,70.94013,-0.3742614682,3.727133,-0.293676192510988,0.806113216228944,0.703008144142229,-0.155781172055059
"Study1","G4","T1","Synchronous",7,10.373208,103.986,71.1744,0.57888796,3.8694883,-0.647889959149847,-1.9197737946146,0.381191981014183,2.09958535306012
"Study1","G4","T1","Synchronous",8,10.374876,103.986,71.1744,1.319931,3.91295026431423,1.05081043604646,-0.0142370506560491,-0.659963222644071,0.430220577259255
"Study1","G4","T1","Synchronous",9,10.376542,103.986,71.1744,1.6313163,3.17518126395561,0.695407563835058,0.515928841277117,0.623380621063292,1.33026448016043
"Study1","G4","T1","Synchronous",10,10.378207,103.986,71.1744,1.4839321,3.17518126395561,0.458794523552206,-0.793591762779938,1.70719007132831,0.206965562210922
"Study1","G4","T1","Synchronous",11,10.379874,103.986,71.1744,1.00978674,3.17518126395561,1.25900342105771,-0.683992640740604,-0.141763281030765,1.05837592183652
"Study1","G4","T1","Synchronous",12,10.381543,103.986,71.1744,0.396606456,3.17518126395561,0.908248603521082,0.769066308338282,-0.805951135183285,-1.02780792299852
"Study1","G4","T1","Synchronous",13,10.383208,109.01608,71.1744,-0.2068878203,3.17518126395561,0.813017191199348,0.950767825249776,1.34625811325552,0.191279166699004
"Study1","G4","T1","Synchronous",14,10.384876,115.418,74.826776,-0.7300995,3.17518126395561,1.09958666517318,-0.287400659737728,-0.141763281030765,-0.710142861830921
"Study1","G4","T1","Synchronous",15,10.38654,115.418,75.188,-1.11543925,3.17518126395561,-0.627282266997575,1.37245423205919,-0.065294659020263,-0.871966067103917
"Study1","G4","T1","Synchronous",16,10.388208,115.418,75.188,-1.3284244,3.17518126395561,1.09685440130057,0.624804642049929,0.213591001360053,-0.404539951785076
"Study1","G4","T1","Synchronous",17,10.389875,115.418,75.188,-1.4509308,3.17518126395561,-2.10125466297457,1.31459298194523,0.786483960016142,0.497492998415325
"Study1","G4","T1","Synchronous",18,10.391543,115.418,75.188,-1.6017698,3.17518126395561,-1.90072817688964,-0.479800407292733,-1.52160998821406,0.223174960890212
"Study1","G4","T1","Synchronous",19,10.393208,115.418,75.188,-1.7316466,3.17518126395561,1.24216746635213,0.001946640859508,-0.329052892645497,-0.0261094956260297
"Study1","G4","T1","Synchronous",20,10.394876,115.418,75.188,-1.8371795,3.17518126395561,1.25410475547012,-0.590503923443619,-1.33199710339088,-0.272296721347758
"Study1","G4","T1","Synchronous",21,10.39654,115.418,75.188,-1.9346926,3.17518126395561,-0.352011163416609,1.06255669423443,-1.77660264827352,1.60279237511623
"Study1","G4","T1","Synchronous",22,10.398208,115.418,73.5747,-1.97553,3.17518126395561,0.679541819032311,-0.520218610508692,0.208786815708079,-2.13654551003095
"Study1","G4","T1","Synchronous",23,10.399877,106.397516,72.8155,-1.9603752,3.17518126395561,0.428446319767912,-0.0142370506560491,0.612659788244738,0.824080357468036
"Study1","G4","T1","Synchronous",24,10.401542,94.9169,72.8155,-1.9308106,3.17518126395561,-1.69628291388623,-0.0142370506560491,-1.01861652991672,0.921430015284593
"Study1","G4","T1","Synchronous",25,10.403208,94.9169,72.8155,-1.8418186,3.17518126395561,0.891045633454559,0.0450014428254344,2.35711480952925,-0.74472386987609
"Study1","G4","T1","Synchronous",26,10.404875,94.9169,72.8155,-1.7644871,3.17518126395561,-0.352011163416609,1.81018690742948,-1.77660264827352,-0.971063245047654
"Study1","G4","T1","Synchronous",27,10.40654,94.9169,72.8155,-1.754175,3.17518126395561,0.693463946579818,0.702648353108359,-0.0426509117780369,-0.930046248241407
