"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G5","T2","TurnTaking",1,19.008543,81.4667,118.11,1.1387999,2.5911804,-0.632335260987965,-1.55345104251291,0.310966338054658,-1.55449809343552
"Study2","G5","T2","TurnTaking",2,19.010208,81.4667,118.11,1.0655,2.301407,0.74861707704552,-0.121578204461583,-0.436539667672095,-0.441478251209325
"Study2","G5","T2","TurnTaking",3,19.011876,81.4667,118.11,0.97697769,2.0405084,-0.617835410298764,-1.6468042219117,4.16077325374221,0.927524304230412
"Study2","G5","T2","TurnTaking",4,19.013543,81.4667,118.11,0.96851207,1.8088752,-0.80352126146402,0.902333984109738,-0.507904624865379,1.07738771493518
"Study2","G5","T2","TurnTaking",5,19.015209,81.4667,118.11,1.1310577,1.7100163,0.596047264177046,-0.220441814286962,-0.46856295143057,-1.07672888114258
"Study2","G5","T2","TurnTaking",6,19.016874,84.579788,118.11,1.4430692,1.8635557,0.624675748460509,-0.534778691411139,0.365376269161515,0.596439056906166
"Study2","G5","T2","TurnTaking",7,19.018541,86.3309,118.11,1.8081693,2.2300142,-0.415515807743292,-0.259633911367529,-0.0579373434940616,-0.451589402330929
"Study2","G5","T2","TurnTaking",8,19.020208,86.3309,113.192579969292,1.38363940724973,2.6916502,0.772789421625032,0.145407773658937,1.3629051333166,0.62224256165884
"Study2","G5","T2","TurnTaking",9,19.021875,86.3309,112.878702094991,0.704790814499452,3.1147548,0.0450059419444948,-1.40418656077148,-0.37928570261201,0.779572264248064
"Study2","G5","T2","TurnTaking",10,19.02354,86.3309,112.878702094991,0.704790814499452,3.369421,1.61409343235864,0.0993567291620021,-0.216732189005084,0.519506385328747
"Study2","G5","T2","TurnTaking",11,19.025209,86.3309,112.878702094991,0.704790814499452,3.4296637,-0.302891406642785,0.745850416061121,-0.528513494403239,0.596439056906166
"Study2","G5","T2","TurnTaking",12,19.026877,86.3309,115.490555717893,0.704790814499452,3.3274319,-1.76186511217893,1.09327134585735,0.365376269161515,0.886370103363298
"Study2","G5","T2","TurnTaking",13,19.028542,86.3309,127.389,0.704790814499452,3.1143919,-0.761490582890618,-0.451539238879142,-0.460605090811646,-1.75221744860288
"Study2","G5","T2","TurnTaking",14,19.030208,86.3309,127.389,0.704790814499452,2.8311432,-0.0353552485333702,-0.457261501954707,-0.643507990858393,-0.517173310243976
"Study2","G5","T2","TurnTaking",15,19.031876,86.3309,127.389,0.704790814499452,2.5364253,-0.389218297677022,-0.458967115511675,0.365376269161515,1.02231634599544
"Study2","G5","T2","TurnTaking",16,19.033542,86.857492,127.389,0.704790814499452,2.2445471,1.11094535371088,1.52707827314271,-0.643507990858393,1.02231634599544
"Study2","G5","T2","TurnTaking",17,19.035207,87.1537,127.389,2.02530002443498,1.9806304,-0.0609453014167698,1.30876321479213,0.310966338054658,0.806092533021645
"Study2","G5","T2","TurnTaking",18,19.036874,87.1537,127.389,1.9254636,1.7738004,-0.818439767953951,-0.259633911367529,-0.362638142406528,0.0514594796760713
"Study2","G5","T2","TurnTaking",19,19.038541,87.1537,117.011089,1.8436675,1.6158478,-0.741807710530261,1.60664216409809,-0.636210916880147,1.35272066749983
"Study2","G5","T2","TurnTaking",20,19.040208,87.1537,91.6031,1.7524319,1.4696866,1.9841164852252,-1.95086682440434,-0.547860190405076,0.674327413844795
"Study2","G5","T2","TurnTaking",21,19.041874,87.1537,91.6031,1.6472686,1.3476379,-1.96905974846541,-0.603697839638976,-0.0960498116725541,0.293606258072695
"Study2","G5","T2","TurnTaking",22,19.043542,87.1537,91.6031,1.5606136,1.2640717,0.868861285219201,-0.971438622883975,-0.752870879879119,-0.752032987761374
"Study2","G5","T2","TurnTaking",23,19.045209,87.1537,91.6031,1.5149753,1.2213649,-1.29758595648549,1.09533238973918,-0.437436348038263,-1.62718991122256
"Study2","G5","T2","TurnTaking",24,19.046876,87.1537,91.6031,1.477478,1.2633825,-0.0460852706938815,-1.49554745280275,-0.259896477630055,-2.14433515230741
"Study2","G5","T2","TurnTaking",25,19.048542,87.1537,91.6031,1.3948058,1.4047824,-1.21115534363524,-0.130863115444899,-0.58437113913401,0.0201846762304678
"Study2","G5","T2","TurnTaking",26,19.050208,83.691428,92.611442,1.301782,1.588635,1.27410867962258,0.796779174590736,-0.614163379826108,0.596439056906166
"Study2","G5","T2","TurnTaking",27,19.051876,81.7439,93.0233,1.2361204,1.8386081,0.386648714816112,0.596668163981551,-0.428075061857329,-0.205022579138707
