"study","group","trial","condition",".groups","time","HR1","HR2","Resp1","Resp2","Resp1S","Resp2S","HR1S","HR2S"
"Study2","G5","T3","Conversation",1,27.992025,66.0793,116.1234,1.5419762,4.06515505173183,-0.706947993754936,-0.717389337417149,-2.61713532627686,-0.390373148109605
"Study2","G5","T3","Conversation",2,27.993692,66.0793,114.723,1.608792,4.5443389749751,-0.123087733728367,1.26572135417645,-0.0900224081616277,0.150450873195651
"Study2","G5","T3","Conversation",3,27.99536,66.0793,114.723,1.7233001,4.5443389749751,1.7435649521,1.4219467996026,3.1908661623631,2.26592542522133
"Study2","G5","T3","Conversation",4,27.997023,66.0793,114.723,1.8094542,4.5443389749751,-0.381372671496083,1.14850344629129,0.110177830857835,0.41616637530541
"Study2","G5","T3","Conversation",5,27.998691,66.0793,114.723,1.8258061,4.5443389749751,-1.80387598779316,-0.339600758025761,1.58257760856083,0.639951310570277
"Study2","G5","T3","Conversation",6,28.000358,63.466411,114.723,1.7631465,4.5443389749751,-0.130823844082343,-0.144688974281901,-0.0428748271195614,0.731967440220304
"Study2","G5","T3","Conversation",7,28.002024,62.5,112.44096,1.6681151,4.5443389749751,-0.60910425027956,0.833809845279888,0.243660849205788,-1.17574682676011
"Study2","G5","T3","Conversation",8,28.003692,62.5,110.497,1.5752433,4.5443389749751,-0.130823844082343,1.33403965702043,0.243660849205788,-0.614670470175309
"Study2","G5","T3","Conversation",9,28.005358,62.5,110.497,1.5052604,3.27175374374378,0.650854160651465,0.417667275484669,3.44610409085455,-0.283327005635073
"Study2","G5","T3","Conversation",10,28.007026,62.5,110.497,1.5298916,3.1763091,-0.130823844082343,0.946405033028106,0.243660849205788,2.24470407188673
"Study2","G5","T3","Conversation",11,28.008693,62.5,110.497,1.7256956,3.6994147,0.822970568231412,1.6814185233597,-0.368846998476603,0.150450873195651
"Study2","G5","T3","Conversation",12,28.010359,62.5,113.1646,2.0538638,4.2620793,-1.07292881317301,-1.86691010178293,-0.888718906281419,-0.788946884787456
"Study2","G5","T3","Conversation",13,28.012025,62.5,114.943,2.4327457,4.7598567,-0.130823844082343,-0.144688974281901,0.188614132423884,-0.811427001696108
"Study2","G5","T3","Conversation",14,28.013693,62.5,114.943,2.7522612,5.1483853,1.81797141669331,-0.144688974281901,-0.0571297946336454,-0.839629153365518
"Study2","G5","T3","Conversation",15,28.015358,62.5,114.943,2.95805124382486,5.4096254,-0.642873733537039,-1.17967365317455,-0.946124915412627,0.150450873195651
"Study2","G5","T3","Conversation",16,28.017023,68.7918833373486,114.943,0.925147294836229,5.5271968,0.153326813486129,0.34191105702046,-0.851443614253621,1.1467018565965
"Study2","G5","T3","Conversation",17,28.018692,71.1190182703405,115.45406,0.881454382485948,5.5266237,-0.521805167254417,-0.182519989648835,-0.393115839332408,-0.36407062566672
"Study2","G5","T3","Conversation",18,28.020358,71.1190182703405,116.054,0.881454382485948,5.4585087,-0.744620332797239,1.65732833652434,-1.84472035889654,-0.833032645131335
"Study2","G5","T3","Conversation",19,28.022024,71.1190182703405,116.054,0.881454382485948,5.3617398,1.09039288280491,-1.60639215340709,-0.302630582787029,-1.06349141847708
"Study2","G5","T3","Conversation",20,28.023692,71.1190182703405,116.054,0.881454382485948,5.2674653,-0.0111176189760256,0.091737496667627,2.07859899284096,-0.590801785036392
"Study2","G5","T3","Conversation",21,28.02536,71.1190182703405,116.054,0.881454382485948,5.1952237,-1.72657809445326,-0.162621840879009,0.243660849205788,0.398638476826831
"Study2","G5","T3","Conversation",22,28.027026,71.1190182703405,115.899,0.881454382485948,5.1929136,-0.0678885369555298,1.51484242903881,-2.62018582496836,2.19895407921374
"Study2","G5","T3","Conversation",23,28.028692,71.1190182703405,114.504,0.881454382485948,5.3063388,-0.130823844082343,-1.09528907474178,-0.767850940194736,-0.227989231144847
"Study2","G5","T3","Conversation",24,28.030359,71.1190182703405,114.504,2.66030564502261,5.5257788,0.523029776610918,-0.582097391233921,-1.84472035889654,2.14043335791672
"Study2","G5","T3","Conversation",25,28.032024,71.1190182703405,114.504,2.9239103,5.8098454,1.06681733914869,-0.477000970385589,2.93858863344568,-1.24133660715705
"Study2","G5","T3","Conversation",26,28.033692,38.6688259329919,114.504,2.8028288,6.1010584,-1.0322999883062,0.728291309868846,-0.290821162747145,-0.700068270314545
"Study2","G5","T3","Conversation",27,28.035357,26.6667,114.504,2.6826171,5.29341361573581,0.0217193409244348,-0.386945030720332,-0.573436351647129,0.150450873195651
"Study2","G5","T3","Conversation",28,28.037023,26.6667,117.49842,2.5856387,4.5443389749751,-1.44295219855395,-1.95117067101942,-1.13679395493396,-0.235799713945582
"Study2","G5","T3","Conversation",29,28.038692,26.6667,118.343,2.5159817,4.5443389749751,1.70285506020112,-1.24849809807031,0.499470374842898,-1.03116408123438
"Study2","G5","T3","Conversation",30,28.040358,26.6667,118.343,2.4700834,4.5443389749751,-0.406914714582062,-0.442176573881876,0.243660849205788,0.362141406759931
"Study2","G5","T3","Conversation",31,28.042025,26.6667,118.343,2.4432043,4.5443389749751,0.686664499305638,0.0825357726560389,0.230981440432039,-0.622569766688187
"Study2","G5","T3","Conversation",32,28.043692,26.6667,118.343,2.4304109,4.5443389749751,-1.90821228535637,-0.488732965296633,0.243660849205788,1.78829552904258
"Study2","G5","T3","Conversation",33,28.04536,26.6667,118.343,2.4232111,4.5443389749751,0.847931869991948,-0.88132795714012,-0.946124915412627,0.150450873195651
"Study2","G5","T3","Conversation",34,28.047025,26.6667,118.343,2.4065497,4.5443389749751,0.887929671774379,-1.45590210584888,-0.59527251633123,0.150450873195651
"Study2","G5","T3","Conversation",35,28.048692,26.6667,118.343,2.3852079,6.20415203849851,-1.37865747765111,-1.34714014012387,-0.803703953296749,0.291843830873709
"Study2","G5","T3","Conversation",36,28.050358,59.1168923373486,118.343,2.3731024,6.2544156,0.879163846100138,0.213493767681089,0.243660849205788,-0.760145622712497
"Study2","G5","T3","Conversation",37,28.052024,71.1190182703405,118.343,2.3714644,6.2092071,-0.787731126541287,-1.26209001124583,3.29100489578032,-0.50937498260363
"Study2","G5","T3","Conversation",38,28.053691,71.1190182703405,118.343,2.3770283,6.2036471,-0.270273467473136,0.871631771426167,-0.573970257587059,-0.646096860626547
"Study2","G5","T3","Conversation",39,28.055357,71.1190182703405,118.343,2.3839683,6.2340671,-0.30835351104036,0.778265697891054,-0.842002513872962,-0.622569766688187
"Study2","G5","T3","Conversation",40,28.057024,71.1190182703405,118.343,2.3929576,6.2902678,-1.7452608178854,-1.3357446637646,-0.993008634753529,0.150450873195651
"Study2","G5","T3","Conversation",41,28.058692,71.1190182703405,118.343,2.4002016,5.02575055173183,1.36392943877397,-0.216020925739823,-0.757946472924228,-0.700068270314545
"Study2","G5","T3","Conversation",42,28.060359,71.1190182703405,118.343,2.3964278,4.5443389749751,-0.130823844082343,0.186238435584453,-0.616864126267913,-0.75908668999077
"Study2","G5","T3","Conversation",43,28.062025,71.1190182703405,118.343,2.392527,4.5443389749751,-1.2545903844168,-0.406131527069703,0.0424619084275026,0.864178907470838
"Study2","G5","T3","Conversation",44,28.063693,71.1190182703405,121.608596240307,2.3910892,4.5443389749751,-0.130823844082343,1.0617898235734,1.25952078721909,-1.04415735652556
"Study2","G5","T3","Conversation",45,28.06536,71.1190182703405,123.366994215857,2.3910978,4.5443389749751,-1.03227768407759,-1.05537283208049,-0.513932320209108,-1.24133660715705
"Study2","G5","T3","Conversation",46,28.067024,75.7182969329919,123.366994215857,2.3885153,4.5443389749751,1.21196973725622,-1.0727525726552,0.398784611069608,-0.45911837722169
"Study2","G5","T3","Conversation",47,28.068692,77.4194,123.366994215857,2.3887656,4.5443389749751,1.02806880543284,1.50550670040413,0.146262527404772,0.150450873195651
"Study2","G5","T3","Conversation",48,28.070358,77.4194,123.366994215857,2.3952304,4.5443389749751,-1.2091484780501,0.491784134113212,-0.580747251464736,-0.55856411548383
"Study2","G5","T3","Conversation",49,28.072024,77.4194,123.366994215857,2.4079953,4.5443389749751,-1.64869296352284,-0.227862980185563,3.44610409085455,1.38059063258485
"Study2","G5","T3","Conversation",50,28.073691,77.4194,123.366994215857,2.404358,4.5443389749751,-0.832444426765123,-0.144688974281901,0.636305191675604,0.362668923408185
"Study2","G5","T3","Conversation",51,28.075358,77.4194,123.366994215857,2.3843289,4.5443389749751,1.49443157073315,-1.4801544163102,-0.687051338777436,-1.93069753911101
"Study2","G5","T3","Conversation",52,28.077026,77.4194,123.366994215857,2.3633854,4.5443389749751,1.04265951728188,1.08565978149952,0.146262527404772,-0.630426364300998
"Study2","G5","T3","Conversation",53,28.078692,77.4194,123.366994215857,2.3489744,5.25629678498506,0.285439683408735,-0.0918340085753783,-0.0946818196651025,0.150450873195651
"Study2","G5","T3","Conversation",54,28.080359,77.4194,123.366994215857,2.3488099,6.2865421,1.62107840801381,-0.144688974281901,-0.919172407986449,1.4350902276667
"Study2","G5","T3","Conversation",55,28.082026,77.4194,123.366994215857,2.3548392,6.2273255,-0.690451370513664,0.42131821192457,-0.876381762839208,-1.06349141847708
"Study2","G5","T3","Conversation",56,28.083693,73.481488,123.366994215857,2.3580877,6.1659241,-0.804590698016553,-1.59492827758207,0.243660849205788,-0.534097645743939
"Study2","G5","T3","Conversation",57,28.085358,72.025,123.366994215857,2.3644933,6.1081055,-2.09589990091435,0.685005087900919,0.364244470822165,0.731967440220304
"Study2","G5","T3","Conversation",58,28.087024,72.025,123.366994215857,2.3583257,6.0592531,-0.130823844082343,1.57384246778506,-0.460304038360413,-1.16898349178468
